split,race_date,R,E,E4,TE,X,won,Horse,NewSplit
A BIT OF BOTH_var102B_LifeTime: Life,2/6/2021,1,0,0,0,1,0,A BIT OF BOTH,LT Races
A BIT OF BOTH_var106_Track: CD,11/15/2020,1,0,0,0,0,1,A BIT OF BOTH,Track: CD
A BIT OF BOTH_var106_Track: CT,8/28/2020,1,0,0,0,1,0,A BIT OF BOTH,Track: CT
A BIT OF BOTH_var106_Track: DE,7/11/2020,1,1,0,2,0,0,A BIT OF BOTH,Track: DE
A BIT OF BOTH_var106_Track: FG,12/5/2020,1,0,0,0,1,0,A BIT OF BOTH,Track: FG
A BIT OF BOTH_var106_Track: GP,9/28/2018,1,1,0,3,0,1,A BIT OF BOTH,Track: GP
A BIT OF BOTH_var106_Track: GP,1/10/2019,1,0,0,0,1,0,A BIT OF BOTH,Track: GP
A BIT OF BOTH_var106_Track: GP,2/14/2019,1,1,1,4,0,1,A BIT OF BOTH,Track: GP
A BIT OF BOTH_var106_Track: GP,3/14/2019,1,1,0,2,0,1,A BIT OF BOTH,Track: GP
A BIT OF BOTH_var106_Track: GP,4/20/2019,1,1,1,4,0,1,A BIT OF BOTH,Track: GP
A BIT OF BOTH_var106_Track: GP,12/14/2019,1,0,0,0,1,0,A BIT OF BOTH,Track: GP
A BIT OF BOTH_var106_Track: GP,1/25/2020,1,0,0,0,1,0,A BIT OF BOTH,Track: GP
A BIT OF BOTH_var106_Track: GP,2/6/2021,1,0,0,0,1,0,A BIT OF BOTH,Track: GP
A BIT OF BOTH_var106_Track: KE,10/11/2020,1,1,0,2,0,1,A BIT OF BOTH,Track: KE
A BIT OF BOTH_var106_Track: MT,6/15/2019,1,1,0,3,0,1,A BIT OF BOTH,Track: MT
A BIT OF BOTH_var106_Track: MT,7/14/2019,1,0,0,1,0,0,A BIT OF BOTH,Track: MT
A BIT OF BOTH_var106_Track: OT,11/26/2019,1,1,1,4,0,1,A BIT OF BOTH,Track: OT
A BIT OF BOTH_var106_Track: PX,10/14/2019,1,0,0,0,1,1,A BIT OF BOTH,Track: PX
A BIT OF BOTH_var106_Track: PX,10/14/2019,1,1,0,2,0,1,A BIT OF BOTH,Track: PX
A BIT OF BOTH_var107_Surface: Dirt,9/28/2018,1,1,0,3,0,1,A BIT OF BOTH,Surface: Dirt
A BIT OF BOTH_var107_Surface: Dirt,1/10/2019,1,0,0,0,1,0,A BIT OF BOTH,Surface: Dirt
A BIT OF BOTH_var107_Surface: Dirt,2/14/2019,1,1,1,4,0,1,A BIT OF BOTH,Surface: Dirt
A BIT OF BOTH_var107_Surface: Dirt,3/14/2019,1,1,0,2,0,1,A BIT OF BOTH,Surface: Dirt
A BIT OF BOTH_var107_Surface: Dirt,4/20/2019,1,1,1,4,0,1,A BIT OF BOTH,Surface: Dirt
A BIT OF BOTH_var107_Surface: Dirt,10/14/2019,1,0,0,0,1,1,A BIT OF BOTH,Surface: Dirt
A BIT OF BOTH_var107_Surface: Dirt,10/14/2019,1,1,0,2,0,1,A BIT OF BOTH,Surface: Dirt
A BIT OF BOTH_var107_Surface: Dirt,12/14/2019,1,0,0,0,1,0,A BIT OF BOTH,Surface: Dirt
A BIT OF BOTH_var107_Surface: Dirt,1/25/2020,1,0,0,0,1,0,A BIT OF BOTH,Surface: Dirt
A BIT OF BOTH_var107_Surface: Dirt,7/11/2020,1,1,0,2,0,0,A BIT OF BOTH,Surface: Dirt
A BIT OF BOTH_var107_Surface: Dirt,8/28/2020,1,0,0,0,1,0,A BIT OF BOTH,Surface: Dirt
A BIT OF BOTH_var107_Surface: Dirt,11/15/2020,1,0,0,0,0,1,A BIT OF BOTH,Surface: Dirt
A BIT OF BOTH_var107_Surface: Dirt,2/6/2021,1,0,0,0,1,0,A BIT OF BOTH,Surface: Dirt
A BIT OF BOTH_var107_Surface: Synth,11/26/2019,1,1,1,4,0,1,A BIT OF BOTH,Surface: Synth
A BIT OF BOTH_var107_Surface: Turf,6/15/2019,1,1,0,3,0,1,A BIT OF BOTH,Surface: Turf
A BIT OF BOTH_var107_Surface: Turf,7/14/2019,1,0,0,1,0,0,A BIT OF BOTH,Surface: Turf
A BIT OF BOTH_var107_Surface: Turf,10/11/2020,1,1,0,2,0,1,A BIT OF BOTH,Surface: Turf
A BIT OF BOTH_var107_Surface: Turf,12/5/2020,1,0,0,0,1,0,A BIT OF BOTH,Surface: Turf
A BIT OF BOTH_var108_SurfaceCond: Frm,6/15/2019,1,1,0,3,0,1,A BIT OF BOTH,SurfaceCond: Frm
A BIT OF BOTH_var108_SurfaceCond: Frm,7/14/2019,1,0,0,1,0,0,A BIT OF BOTH,SurfaceCond: Frm
A BIT OF BOTH_var108_SurfaceCond: Fst,9/28/2018,1,1,0,3,0,1,A BIT OF BOTH,SurfaceCond: Fst
A BIT OF BOTH_var108_SurfaceCond: Fst,1/10/2019,1,0,0,0,1,0,A BIT OF BOTH,SurfaceCond: Fst
A BIT OF BOTH_var108_SurfaceCond: Fst,2/14/2019,1,1,1,4,0,1,A BIT OF BOTH,SurfaceCond: Fst
A BIT OF BOTH_var108_SurfaceCond: Fst,3/14/2019,1,1,0,2,0,1,A BIT OF BOTH,SurfaceCond: Fst
A BIT OF BOTH_var108_SurfaceCond: Fst,4/20/2019,1,1,1,4,0,1,A BIT OF BOTH,SurfaceCond: Fst
A BIT OF BOTH_var108_SurfaceCond: Fst,10/14/2019,1,0,0,0,1,1,A BIT OF BOTH,SurfaceCond: Fst
A BIT OF BOTH_var108_SurfaceCond: Fst,10/14/2019,1,1,0,2,0,1,A BIT OF BOTH,SurfaceCond: Fst
A BIT OF BOTH_var108_SurfaceCond: Fst,11/26/2019,1,1,1,4,0,1,A BIT OF BOTH,SurfaceCond: Fst
A BIT OF BOTH_var108_SurfaceCond: Fst,12/14/2019,1,0,0,0,1,0,A BIT OF BOTH,SurfaceCond: Fst
A BIT OF BOTH_var108_SurfaceCond: Fst,1/25/2020,1,0,0,0,1,0,A BIT OF BOTH,SurfaceCond: Fst
A BIT OF BOTH_var108_SurfaceCond: Fst,7/11/2020,1,1,0,2,0,0,A BIT OF BOTH,SurfaceCond: Fst
A BIT OF BOTH_var108_SurfaceCond: Fst,8/28/2020,1,0,0,0,1,0,A BIT OF BOTH,SurfaceCond: Fst
A BIT OF BOTH_var108_SurfaceCond: Fst,11/15/2020,1,0,0,0,0,1,A BIT OF BOTH,SurfaceCond: Fst
A BIT OF BOTH_var108_SurfaceCond: Gd,10/11/2020,1,1,0,2,0,1,A BIT OF BOTH,SurfaceCond: Gd
A BIT OF BOTH_var108_SurfaceCond: Gd,12/5/2020,1,0,0,0,1,0,A BIT OF BOTH,SurfaceCond: Gd
A BIT OF BOTH_var108_SurfaceCond: Sly,2/6/2021,1,0,0,0,1,0,A BIT OF BOTH,SurfaceCond: Sly
A BIT OF BOTH_var109_Wind: calm,9/28/2018,1,1,0,3,0,1,A BIT OF BOTH,Wind: calm
A BIT OF BOTH_var109_Wind: calm,1/10/2019,1,0,0,0,1,0,A BIT OF BOTH,Wind: calm
A BIT OF BOTH_var109_Wind: calm,2/14/2019,1,1,1,4,0,1,A BIT OF BOTH,Wind: calm
A BIT OF BOTH_var109_Wind: calm,3/14/2019,1,1,0,2,0,1,A BIT OF BOTH,Wind: calm
A BIT OF BOTH_var109_Wind: calm,4/20/2019,1,1,1,4,0,1,A BIT OF BOTH,Wind: calm
A BIT OF BOTH_var109_Wind: calm,6/15/2019,1,1,0,3,0,1,A BIT OF BOTH,Wind: calm
A BIT OF BOTH_var109_Wind: calm,7/14/2019,1,0,0,1,0,0,A BIT OF BOTH,Wind: calm
A BIT OF BOTH_var109_Wind: calm,10/14/2019,1,0,0,0,1,1,A BIT OF BOTH,Wind: calm
A BIT OF BOTH_var109_Wind: calm,10/14/2019,1,1,0,2,0,1,A BIT OF BOTH,Wind: calm
A BIT OF BOTH_var109_Wind: calm,11/26/2019,1,1,1,4,0,1,A BIT OF BOTH,Wind: calm
A BIT OF BOTH_var109_Wind: calm,1/25/2020,1,0,0,0,1,0,A BIT OF BOTH,Wind: calm
A BIT OF BOTH_var109_Wind: calm,7/11/2020,1,1,0,2,0,0,A BIT OF BOTH,Wind: calm
A BIT OF BOTH_var109_Wind: calm,8/28/2020,1,0,0,0,1,0,A BIT OF BOTH,Wind: calm
A BIT OF BOTH_var109_Wind: calm,10/11/2020,1,1,0,2,0,1,A BIT OF BOTH,Wind: calm
A BIT OF BOTH_var109_Wind: calm,12/5/2020,1,0,0,0,1,0,A BIT OF BOTH,Wind: calm
A BIT OF BOTH_var109_Wind: calm,2/6/2021,1,0,0,0,1,0,A BIT OF BOTH,Wind: calm
A BIT OF BOTH_var109_Wind: hvy,12/14/2019,1,0,0,0,1,0,A BIT OF BOTH,Wind: hvy
A BIT OF BOTH_var109_Wind: hvy,11/15/2020,1,0,0,0,0,1,A BIT OF BOTH,Wind: hvy
A BIT OF BOTH_var110_Preip: clear,9/28/2018,1,1,0,3,0,1,A BIT OF BOTH,Preip: clear
A BIT OF BOTH_var110_Preip: clear,1/10/2019,1,0,0,0,1,0,A BIT OF BOTH,Preip: clear
A BIT OF BOTH_var110_Preip: clear,2/14/2019,1,1,1,4,0,1,A BIT OF BOTH,Preip: clear
A BIT OF BOTH_var110_Preip: clear,3/14/2019,1,1,0,2,0,1,A BIT OF BOTH,Preip: clear
A BIT OF BOTH_var110_Preip: clear,4/20/2019,1,1,1,4,0,1,A BIT OF BOTH,Preip: clear
A BIT OF BOTH_var110_Preip: clear,6/15/2019,1,1,0,3,0,1,A BIT OF BOTH,Preip: clear
A BIT OF BOTH_var110_Preip: clear,7/14/2019,1,0,0,1,0,0,A BIT OF BOTH,Preip: clear
A BIT OF BOTH_var110_Preip: clear,10/14/2019,1,0,0,0,1,1,A BIT OF BOTH,Preip: clear
A BIT OF BOTH_var110_Preip: clear,10/14/2019,1,1,0,2,0,1,A BIT OF BOTH,Preip: clear
A BIT OF BOTH_var110_Preip: clear,11/26/2019,1,1,1,4,0,1,A BIT OF BOTH,Preip: clear
A BIT OF BOTH_var110_Preip: clear,12/14/2019,1,0,0,0,1,0,A BIT OF BOTH,Preip: clear
A BIT OF BOTH_var110_Preip: clear,1/25/2020,1,0,0,0,1,0,A BIT OF BOTH,Preip: clear
A BIT OF BOTH_var110_Preip: clear,7/11/2020,1,1,0,2,0,0,A BIT OF BOTH,Preip: clear
A BIT OF BOTH_var110_Preip: clear,8/28/2020,1,0,0,0,1,0,A BIT OF BOTH,Preip: clear
A BIT OF BOTH_var110_Preip: clear,10/11/2020,1,1,0,2,0,1,A BIT OF BOTH,Preip: clear
A BIT OF BOTH_var110_Preip: clear,11/15/2020,1,0,0,0,0,1,A BIT OF BOTH,Preip: clear
A BIT OF BOTH_var110_Preip: clear,12/5/2020,1,0,0,0,1,0,A BIT OF BOTH,Preip: clear
A BIT OF BOTH_var110_Preip: clear,2/6/2021,1,0,0,0,1,0,A BIT OF BOTH,Preip: clear
A BIT OF BOTH_var112_Jockey: C Montalvo,9/28/2018,1,1,0,3,0,1,A BIT OF BOTH,Jockey: C Montalvo
A BIT OF BOTH_var112_Jockey: F Geroux,10/11/2020,1,1,0,2,0,1,A BIT OF BOTH,Jockey: F Geroux
